instant,dteday,avg_temp,cnt
1,2011-01-01,0.363625,985
2,2011-01-02,0.353739,801
3,2011-01-03,0.189405,1349
4,2011-01-04,0.212122,1562
5,2011-01-05,0.22927,1600
6,2011-01-06,0.233209,1606
7,2011-01-07,0.208839,1510
8,2011-01-08,0.162254,959
9,2011-01-09,0.116175,822
10,2011-01-10,0.150888,1321
11,2011-01-11,0.191464,1263
12,2011-01-12,0.160473,1162
13,2011-01-13,0.150883,1406
14,2011-01-14,0.188413,1421
15,2011-01-15,0.248112,1248
16,2011-01-16,0.234217,1204
17,2011-01-17,0.176771,1000
18,2011-01-18,0.232333,683
19,2011-01-19,0.298422,1650
20,2011-01-20,0.25505,1927
21,2011-01-21,0.157833,1543
22,2011-01-22,0.0790696,981
23,2011-01-23,0.0988391,986
24,2011-01-24,0.11793,1416
25,2011-01-25,0.234526,1985
26,2011-01-26,0.2036,506
27,2011-01-27,0.2197,431
28,2011-01-28,0.223317,1167
29,2011-01-29,0.212126,1098
30,2011-01-30,0.250322,1096
31,2011-01-31,0.18625,1501
32,2011-02-01,0.23453,1360
33,2011-02-02,0.254417,1526
34,2011-02-03,0.177878,1550
35,2011-02-04,0.228587,1708
36,2011-02-05,0.243058,1005
37,2011-02-06,0.291671,1623
38,2011-02-07,0.303658,1712
39,2011-02-08,0.198246,1530
40,2011-02-09,0.144283,1605
41,2011-02-10,0.149548,1538
42,2011-02-11,0.213509,1746
43,2011-02-12,0.232954,1472
44,2011-02-13,0.324113,1589
45,2011-02-14,0.39835,1913
46,2011-02-15,0.254274,1815
47,2011-02-16,0.3162,2115
48,2011-02-17,0.428658,2475
49,2011-02-18,0.511983,2927
50,2011-02-19,0.391404,1635
51,2011-02-20,0.27733,1812
52,2011-02-21,0.284075,1107
53,2011-02-22,0.186033,1450
54,2011-02-23,0.245717,1917
55,2011-02-24,0.289191,1807
56,2011-02-25,0.350461,1461
57,2011-02-26,0.282192,1969
58,2011-02-27,0.351109,2402
59,2011-02-28,0.400118,1446
60,2011-03-01,0.263879,1851
61,2011-03-02,0.320071,2134
62,2011-03-03,0.200133,1685
63,2011-03-04,0.255679,1944
64,2011-03-05,0.378779,2077
65,2011-03-06,0.366252,605
66,2011-03-07,0.238461,1872
67,2011-03-08,0.3024,2133
68,2011-03-09,0.286608,1891
69,2011-03-10,0.385668,623
70,2011-03-11,0.305,1977
71,2011-03-12,0.32575,2132
72,2011-03-13,0.380091,2417
73,2011-03-14,0.332,2046
74,2011-03-15,0.318178,2056
75,2011-03-16,0.36693,2192
76,2011-03-17,0.410333,2744
77,2011-03-18,0.527009,3239
78,2011-03-19,0.466525,3117
79,2011-03-20,0.32575,2471
80,2011-03-21,0.409735,2077
81,2011-03-22,0.440642,2703
82,2011-03-23,0.337939,2121
83,2011-03-24,0.270833,1865
84,2011-03-25,0.256312,2210
85,2011-03-26,0.257571,2496
86,2011-03-27,0.250339,1693
87,2011-03-28,0.257574,2028
88,2011-03-29,0.292908,2425
89,2011-03-30,0.29735,1536
90,2011-03-31,0.257575,1685
91,2011-04-01,0.283454,2227
92,2011-04-02,0.315637,2252
93,2011-04-03,0.378767,3249
94,2011-04-04,0.542929,3115
95,2011-04-05,0.39835,1795
96,2011-04-06,0.387608,2808
97,2011-04-07,0.433696,3141
98,2011-04-08,0.324479,1471
99,2011-04-09,0.341529,2455
100,2011-04-10,0.426737,2895
101,2011-04-11,0.565217,3348
102,2011-04-12,0.493054,2034
103,2011-04-13,0.417283,2162
104,2011-04-14,0.462742,3267
105,2011-04-15,0.441913,3126
106,2011-04-16,0.425492,795
107,2011-04-17,0.445696,3744
108,2011-04-18,0.503146,3429
109,2011-04-19,0.489258,3204
110,2011-04-20,0.564392,3944
111,2011-04-21,0.453892,4189
112,2011-04-22,0.321954,1683
113,2011-04-23,0.450121,4036
114,2011-04-24,0.551763,4191
115,2011-04-25,0.5745,4073
116,2011-04-26,0.594083,4400
117,2011-04-27,0.575142,3872
118,2011-04-28,0.578929,4058
119,2011-04-29,0.497463,4595
120,2011-04-30,0.464021,5312
121,2011-05-01,0.448204,3351
122,2011-05-02,0.532833,4401
123,2011-05-03,0.582079,4451
124,2011-05-04,0.40465,2633
125,2011-05-05,0.441917,4433
126,2011-05-06,0.474117,4608
127,2011-05-07,0.512621,4714
128,2011-05-08,0.518933,4333
129,2011-05-09,0.525246,4362
130,2011-05-10,0.522721,4803
131,2011-05-11,0.5284,4182
132,2011-05-12,0.523363,4864
133,2011-05-13,0.4943,4105
134,2011-05-14,0.500629,3409
135,2011-05-15,0.536,4553
136,2011-05-16,0.550512,3958
137,2011-05-17,0.538529,4123
138,2011-05-18,0.527158,3855
139,2011-05-19,0.510742,4575
140,2011-05-20,0.529042,4917
141,2011-05-21,0.571975,5805
142,2011-05-22,0.5745,4660
143,2011-05-23,0.590296,4274
144,2011-05-24,0.604813,4492
145,2011-05-25,0.615542,4978
146,2011-05-26,0.654688,4677
147,2011-05-27,0.637008,4679
148,2011-05-28,0.612379,4758
149,2011-05-29,0.61555,4788
150,2011-05-30,0.671092,4098
151,2011-05-31,0.725383,3982
152,2011-06-01,0.720967,3974
153,2011-06-02,0.643942,4968
154,2011-06-03,0.587133,5312
155,2011-06-04,0.594696,5342
156,2011-06-05,0.616804,4906
157,2011-06-06,0.621858,4548
158,2011-06-07,0.65595,4833
159,2011-06-08,0.727279,4401
160,2011-06-09,0.757579,3915
161,2011-06-10,0.703292,4586
162,2011-06-11,0.678038,4966
163,2011-06-12,0.643325,4460
164,2011-06-13,0.601654,5020
165,2011-06-14,0.591546,4891
166,2011-06-15,0.587754,5180
167,2011-06-16,0.595346,3767
168,2011-06-17,0.600383,4844
169,2011-06-18,0.643954,5119
170,2011-06-19,0.645846,4744
171,2011-06-20,0.595346,4010
172,2011-06-21,0.637646,4835
173,2011-06-22,0.693829,4507
174,2011-06-23,0.693833,4790
175,2011-06-24,0.656583,4991
176,2011-06-25,0.643313,5202
177,2011-06-26,0.637629,5305
178,2011-06-27,0.637004,4708
179,2011-06-28,0.692558,4648
180,2011-06-29,0.654688,5225
181,2011-06-30,0.637008,5515
182,2011-07-01,0.652162,5362
183,2011-07-02,0.667308,5119
184,2011-07-03,0.668575,4649
185,2011-07-04,0.665417,6043
186,2011-07-05,0.696338,4665
187,2011-07-06,0.685633,4629
188,2011-07-07,0.686871,4592
189,2011-07-08,0.670483,4040
190,2011-07-09,0.664158,5336
191,2011-07-10,0.690025,4881
192,2011-07-11,0.729804,4086
193,2011-07-12,0.739275,4258
194,2011-07-13,0.689404,4342
195,2011-07-14,0.635104,5084
196,2011-07-15,0.624371,5538
197,2011-07-16,0.638263,5923
198,2011-07-17,0.669833,5302
199,2011-07-18,0.703925,4458
200,2011-07-19,0.747479,4541
201,2011-07-20,0.74685,4332
202,2011-07-21,0.826371,3784
203,2011-07-22,0.840896,3387
204,2011-07-23,0.804287,3285
205,2011-07-24,0.794829,3606
206,2011-07-25,0.720958,3840
207,2011-07-26,0.696979,4590
208,2011-07-27,0.690667,4656
209,2011-07-28,0.7399,4390
210,2011-07-29,0.785967,3846
211,2011-07-30,0.728537,4475
212,2011-07-31,0.729796,4302
213,2011-08-01,0.703292,4266
214,2011-08-02,0.707071,4845
215,2011-08-03,0.679937,3574
216,2011-08-04,0.664788,4576
217,2011-08-05,0.656567,4866
218,2011-08-06,0.676154,4294
219,2011-08-07,0.715292,3785
220,2011-08-08,0.703283,4326
221,2011-08-09,0.724121,4602
222,2011-08-10,0.684983,4780
223,2011-08-11,0.651521,4792
224,2011-08-12,0.654042,4905
225,2011-08-13,0.645858,4150
226,2011-08-14,0.624388,3820
227,2011-08-15,0.616167,4338
228,2011-08-16,0.645837,4725
229,2011-08-17,0.666671,4694
230,2011-08-18,0.662258,3805
231,2011-08-19,0.633221,4153
232,2011-08-20,0.648996,5191
233,2011-08-21,0.675525,3873
234,2011-08-22,0.638254,4758
235,2011-08-23,0.606067,5895
236,2011-08-24,0.630692,5130
237,2011-08-25,0.645854,3542
238,2011-08-26,0.659733,4661
239,2011-08-27,0.635556,1115
240,2011-08-28,0.647959,4334
241,2011-08-29,0.607958,4634
242,2011-08-30,0.594704,5204
243,2011-08-31,0.611121,5058
244,2011-09-01,0.614921,5115
245,2011-09-02,0.604808,4727
246,2011-09-03,0.633213,4484
247,2011-09-04,0.665429,4940
248,2011-09-05,0.625646,3351
249,2011-09-06,0.5152,2710
250,2011-09-07,0.544229,1996
251,2011-09-08,0.555361,1842
252,2011-09-09,0.578946,3544
253,2011-09-10,0.607962,5345
254,2011-09-11,0.609229,5046
255,2011-09-12,0.60213,4713
256,2011-09-13,0.603554,4763
257,2011-09-14,0.6269,4785
258,2011-09-15,0.553671,3659
259,2011-09-16,0.461475,4760
260,2011-09-17,0.478512,4511
261,2011-09-18,0.490537,4274
262,2011-09-19,0.529675,4539
263,2011-09-20,0.532217,3641
264,2011-09-21,0.550533,4352
265,2011-09-22,0.554963,4795
266,2011-09-23,0.522125,2395
267,2011-09-24,0.564412,5423
268,2011-09-25,0.572637,5010
269,2011-09-26,0.589042,4630
270,2011-09-27,0.574525,4120
271,2011-09-28,0.575158,3907
272,2011-09-29,0.574512,4839
273,2011-09-30,0.544829,5202
274,2011-10-01,0.412863,2429
275,2011-10-02,0.345317,2918
276,2011-10-03,0.392046,3570
277,2011-10-04,0.472858,4456
278,2011-10-05,0.527138,4826
279,2011-10-06,0.480425,4765
280,2011-10-07,0.504404,4985
281,2011-10-08,0.513242,5409
282,2011-10-09,0.523983,5511
283,2011-10-10,0.542925,5117
284,2011-10-11,0.546096,4563
285,2011-10-12,0.517717,2416
286,2011-10-13,0.551804,2913
287,2011-10-14,0.529675,3644
288,2011-10-15,0.498725,5217
289,2011-10-16,0.503154,5041
290,2011-10-17,0.510725,4570
291,2011-10-18,0.522721,4748
292,2011-10-19,0.513848,2424
293,2011-10-20,0.466525,4195
294,2011-10-21,0.423596,4304
295,2011-10-22,0.425492,4308
296,2011-10-23,0.422333,4381
297,2011-10-24,0.457067,4187
298,2011-10-25,0.463375,4687
299,2011-10-26,0.472846,3894
300,2011-10-27,0.457046,2659
301,2011-10-28,0.318812,3747
302,2011-10-29,0.227913,627
303,2011-10-30,0.321329,3331
304,2011-10-31,0.356063,3669
305,2011-11-01,0.397088,4068
306,2011-11-02,0.390133,4186
307,2011-11-03,0.405921,3974
308,2011-11-04,0.403392,4046
309,2011-11-05,0.323854,3926
310,2011-11-06,0.362358,3649
311,2011-11-07,0.400871,4035
312,2011-11-08,0.412246,4205
313,2011-11-09,0.409079,4109
314,2011-11-10,0.373721,2933
315,2011-11-11,0.306817,3368
316,2011-11-12,0.357942,4067
317,2011-11-13,0.43055,3717
318,2011-11-14,0.524612,4486
319,2011-11-15,0.507579,4195
320,2011-11-16,0.451988,1817
321,2011-11-17,0.323221,3053
322,2011-11-18,0.272721,3392
323,2011-11-19,0.324483,3663
324,2011-11-20,0.457058,3520
325,2011-11-21,0.445062,2765
326,2011-11-22,0.421696,1607
327,2011-11-23,0.430537,2566
328,2011-11-24,0.372471,1495
329,2011-11-25,0.380671,2792
330,2011-11-26,0.385087,3068
331,2011-11-27,0.4558,3071
332,2011-11-28,0.490122,3867
333,2011-11-29,0.451375,2914
334,2011-11-30,0.311221,3613
335,2011-12-01,0.305554,3727
336,2011-12-02,0.331433,3940
337,2011-12-03,0.310604,3614
338,2011-12-04,0.3491,3485
339,2011-12-05,0.393925,3811
340,2011-12-06,0.4564,2594
341,2011-12-07,0.400246,705
342,2011-12-08,0.256938,3322
343,2011-12-09,0.317542,3620
344,2011-12-10,0.266412,3190
345,2011-12-11,0.253154,2743
346,2011-12-12,0.270196,3310
347,2011-12-13,0.301138,3523
348,2011-12-14,0.338362,3740
349,2011-12-15,0.412237,3709
350,2011-12-16,0.359825,3577
351,2011-12-17,0.249371,2739
352,2011-12-18,0.245579,2431
353,2011-12-19,0.280933,3403
354,2011-12-20,0.396454,3750
355,2011-12-21,0.428017,2660
356,2011-12-22,0.426121,3068
357,2011-12-23,0.377513,2209
358,2011-12-24,0.299242,1011
359,2011-12-25,0.279961,754
360,2011-12-26,0.315535,1317
361,2011-12-27,0.327633,1162
362,2011-12-28,0.279974,2302
363,2011-12-29,0.263892,2423
364,2011-12-30,0.318812,2999
365,2011-12-31,0.414121,2485
366,2012-01-01,0.375621,2294
367,2012-01-02,0.252304,1951
368,2012-01-03,0.126275,2236
369,2012-01-04,0.119337,2368
370,2012-01-05,0.278412,3272
371,2012-01-06,0.340267,4098
372,2012-01-07,0.390779,4521
373,2012-01-08,0.340258,3425
374,2012-01-09,0.247479,2376
375,2012-01-10,0.318826,3598
376,2012-01-11,0.282821,2177
377,2012-01-12,0.381938,4097
378,2012-01-13,0.249362,3214
379,2012-01-14,0.183087,2493
380,2012-01-15,0.161625,2311
381,2012-01-16,0.190663,2298
382,2012-01-17,0.364278,2935
383,2012-01-18,0.275254,3376
384,2012-01-19,0.190038,3292
385,2012-01-20,0.220958,3163
386,2012-01-21,0.174875,1301
387,2012-01-22,0.16225,1977
388,2012-01-23,0.243058,2432
389,2012-01-24,0.349108,4339
390,2012-01-25,0.294821,4270
391,2012-01-26,0.35605,4075
392,2012-01-27,0.415383,3456
393,2012-01-28,0.326379,4023
394,2012-01-29,0.272721,3243
395,2012-01-30,0.262625,3624
396,2012-01-31,0.381317,4509
397,2012-02-01,0.466538,4579
398,2012-02-02,0.398971,3761
399,2012-02-03,0.309346,4151
400,2012-02-04,0.272725,2832
401,2012-02-05,0.264521,2947
402,2012-02-06,0.296426,3784
403,2012-02-07,0.361104,4375
404,2012-02-08,0.266421,2802
405,2012-02-09,0.261988,3830
406,2012-02-10,0.293558,3831
407,2012-02-11,0.210867,2169
408,2012-02-12,0.101658,1529
409,2012-02-13,0.227913,3422
410,2012-02-14,0.333946,3922
411,2012-02-15,0.351629,4169
412,2012-02-16,0.330162,3005
413,2012-02-17,0.351629,4154
414,2012-02-18,0.355425,4318
415,2012-02-19,0.265788,2689
416,2012-02-20,0.273391,3129
417,2012-02-21,0.295113,3777
418,2012-02-22,0.392667,4773
419,2012-02-23,0.444446,5062
420,2012-02-24,0.410971,3487
421,2012-02-25,0.255675,2732
422,2012-02-26,0.268308,3389
423,2012-02-27,0.357954,4322
424,2012-02-28,0.353525,4363
425,2012-02-29,0.34847,1834
426,2012-03-01,0.475371,4990
427,2012-03-02,0.359842,3194
428,2012-03-03,0.413492,4066
429,2012-03-04,0.303021,3423
430,2012-03-05,0.241171,3333
431,2012-03-06,0.255042,3956
432,2012-03-07,0.3851,4916
433,2012-03-08,0.524604,5382
434,2012-03-09,0.397083,4569
435,2012-03-10,0.277767,4118
436,2012-03-11,0.35967,4911
437,2012-03-12,0.459592,5298
438,2012-03-13,0.542929,5847
439,2012-03-14,0.548617,6312
440,2012-03-15,0.532825,6192
441,2012-03-16,0.436229,4378
442,2012-03-17,0.505046,7836
443,2012-03-18,0.464,5892
444,2012-03-19,0.532821,6153
445,2012-03-20,0.538533,6093
446,2012-03-21,0.513258,6230
447,2012-03-22,0.531567,6871
448,2012-03-23,0.570067,8362
449,2012-03-24,0.486733,3372
450,2012-03-25,0.437488,4996
451,2012-03-26,0.43875,5558
452,2012-03-27,0.315654,5102
453,2012-03-28,0.47095,5698
454,2012-03-29,0.482304,6133
455,2012-03-30,0.375621,5459
456,2012-03-31,0.421708,6235
457,2012-04-01,0.417287,6041
458,2012-04-02,0.427513,5936
459,2012-04-03,0.461483,6772
460,2012-04-04,0.53345,6436
461,2012-04-05,0.431163,6457
462,2012-04-06,0.390767,6460
463,2012-04-07,0.426129,6857
464,2012-04-08,0.492425,5169
465,2012-04-09,0.476638,5585
466,2012-04-10,0.436233,5918
467,2012-04-11,0.337274,4862
468,2012-04-12,0.387604,5409
469,2012-04-13,0.431808,6398
470,2012-04-14,0.487996,7460
471,2012-04-15,0.573875,7132
472,2012-04-16,0.614925,6370
473,2012-04-17,0.598487,6691
474,2012-04-18,0.457038,4367
475,2012-04-19,0.493046,6565
476,2012-04-20,0.515775,7290
477,2012-04-21,0.542921,6624
478,2012-04-22,0.389504,1027
479,2012-04-23,0.301125,3214
480,2012-04-24,0.405283,5633
481,2012-04-25,0.470317,6196
482,2012-04-26,0.483583,5026
483,2012-04-27,0.452637,6233
484,2012-04-28,0.377504,4220
485,2012-04-29,0.450121,6304
486,2012-04-30,0.457696,5572
487,2012-05-01,0.577021,5740
488,2012-05-02,0.537896,6169
489,2012-05-03,0.537242,6421
490,2012-05-04,0.590917,6296
491,2012-05-05,0.584608,6883
492,2012-05-06,0.546737,6359
493,2012-05-07,0.527142,6273
494,2012-05-08,0.557471,5728
495,2012-05-09,0.553025,4717
496,2012-05-10,0.491783,6572
497,2012-05-11,0.520833,7030
498,2012-05-12,0.544817,7429
499,2012-05-13,0.585238,6118
500,2012-05-14,0.5499,2843
501,2012-05-15,0.576404,5115
502,2012-05-16,0.595975,7424
503,2012-05-17,0.572613,7384
504,2012-05-18,0.551121,7639
505,2012-05-19,0.566908,8294
506,2012-05-20,0.583967,7129
507,2012-05-21,0.565667,4359
508,2012-05-22,0.580825,6073
509,2012-05-23,0.584612,5260
510,2012-05-24,0.6067,6770
511,2012-05-25,0.627529,6734
512,2012-05-26,0.642696,6536
513,2012-05-27,0.641425,6591
514,2012-05-28,0.6793,6043
515,2012-05-29,0.672992,5743
516,2012-05-30,0.611129,6855
517,2012-05-31,0.631329,7338
518,2012-06-01,0.607962,4127
519,2012-06-02,0.566288,8120
520,2012-06-03,0.575133,7641
521,2012-06-04,0.578283,6998
522,2012-06-05,0.525892,7001
523,2012-06-06,0.542292,7055
524,2012-06-07,0.569442,7494
525,2012-06-08,0.597862,7736
526,2012-06-09,0.648367,7498
527,2012-06-10,0.663517,6598
528,2012-06-11,0.659721,6664
529,2012-06-12,0.597875,4972
530,2012-06-13,0.611117,7421
531,2012-06-14,0.624383,7363
532,2012-06-15,0.599754,7665
533,2012-06-16,0.594708,7702
534,2012-06-17,0.571975,6978
535,2012-06-18,0.544842,5099
536,2012-06-19,0.654692,6825
537,2012-06-20,0.720975,6211
538,2012-06-21,0.752542,5905
539,2012-06-22,0.724121,5823
540,2012-06-23,0.652792,7458
541,2012-06-24,0.674254,6891
542,2012-06-25,0.654042,6779
543,2012-06-26,0.594704,7442
544,2012-06-27,0.640792,7335
545,2012-06-28,0.675512,6879
546,2012-06-29,0.786613,5463
547,2012-06-30,0.687508,5687
548,2012-07-01,0.750629,5531
549,2012-07-02,0.702038,6227
550,2012-07-03,0.70265,6660
551,2012-07-04,0.732337,7403
552,2012-07-05,0.761367,6241
553,2012-07-06,0.752533,6207
554,2012-07-07,0.804913,4840
555,2012-07-08,0.790396,4672
556,2012-07-09,0.654054,6569
557,2012-07-10,0.664796,6290
558,2012-07-11,0.650271,7264
559,2012-07-12,0.654683,7446
560,2012-07-13,0.667933,7499
561,2012-07-14,0.666042,6969
562,2012-07-15,0.705196,6031
563,2012-07-16,0.724125,6830
564,2012-07-17,0.755683,6786
565,2012-07-18,0.745583,5713
566,2012-07-19,0.714642,6591
567,2012-07-20,0.613025,5870
568,2012-07-21,0.549912,4459
569,2012-07-22,0.623125,7410
570,2012-07-23,0.690017,6966
571,2012-07-24,0.70645,7592
572,2012-07-25,0.654054,8173
573,2012-07-26,0.739263,6861
574,2012-07-27,0.734217,6904
575,2012-07-28,0.697604,6685
576,2012-07-29,0.667933,6597
577,2012-07-30,0.684987,7105
578,2012-07-31,0.662896,7216
579,2012-08-01,0.667308,7580
580,2012-08-02,0.707088,7261
581,2012-08-03,0.722867,7175
582,2012-08-04,0.751267,6824
583,2012-08-05,0.731079,5464
584,2012-08-06,0.710246,7013
585,2012-08-07,0.697621,7273
586,2012-08-08,0.707717,7534
587,2012-08-09,0.699508,7286
588,2012-08-10,0.667942,5786
589,2012-08-11,0.638267,6299
590,2012-08-12,0.644579,6544
591,2012-08-13,0.662254,6883
592,2012-08-14,0.676779,6784
593,2012-08-15,0.654037,7347
594,2012-08-16,0.654688,7605
595,2012-08-17,0.2424,7148
596,2012-08-18,0.618071,7865
597,2012-08-19,0.603554,4549
598,2012-08-20,0.595967,6530
599,2012-08-21,0.601025,7006
600,2012-08-22,0.621854,7375
601,2012-08-23,0.637008,7765
602,2012-08-24,0.6471,7582
603,2012-08-25,0.618696,6053
604,2012-08-26,0.595996,5255
605,2012-08-27,0.654688,6917
606,2012-08-28,0.66605,7040
607,2012-08-29,0.635733,7697
608,2012-08-30,0.652779,7713
609,2012-08-31,0.6894,7350
610,2012-09-01,0.702654,6140
611,2012-09-02,0.649,5810
612,2012-09-03,0.661629,6034
613,2012-09-04,0.686888,6864
614,2012-09-05,0.708983,7112
615,2012-09-06,0.655329,6203
616,2012-09-07,0.657204,7504
617,2012-09-08,0.611121,5976
618,2012-09-09,0.578925,8227
619,2012-09-10,0.565654,7525
620,2012-09-11,0.554292,7767
621,2012-09-12,0.570075,7870
622,2012-09-13,0.579558,7804
623,2012-09-14,0.594083,8009
624,2012-09-15,0.585867,8714
625,2012-09-16,0.563125,7333
626,2012-09-17,0.55305,6869
627,2012-09-18,0.565067,4073
628,2012-09-19,0.540404,7591
629,2012-09-20,0.532192,7720
630,2012-09-21,0.571971,8167
631,2012-09-22,0.610488,8395
632,2012-09-23,0.518933,7907
633,2012-09-24,0.502513,7436
634,2012-09-25,0.544179,7538
635,2012-09-26,0.596613,7733
636,2012-09-27,0.607975,7393
637,2012-09-28,0.585863,7415
638,2012-09-29,0.530296,8555
639,2012-09-30,0.517663,6889
640,2012-10-01,0.512,6778
641,2012-10-02,0.542333,4639
642,2012-10-03,0.599133,7572
643,2012-10-04,0.607975,7328
644,2012-10-05,0.580187,8156
645,2012-10-06,0.538521,7965
646,2012-10-07,0.419813,3510
647,2012-10-08,0.387608,5478
648,2012-10-09,0.438112,6392
649,2012-10-10,0.503142,7691
650,2012-10-11,0.431167,7570
651,2012-10-12,0.433071,7282
652,2012-10-13,0.391396,7109
653,2012-10-14,0.508204,6639
654,2012-10-15,0.53915,5875
655,2012-10-16,0.460846,7534
656,2012-10-17,0.450108,7461
657,2012-10-18,0.512625,7509
658,2012-10-19,0.537896,5424
659,2012-10-20,0.472842,8090
660,2012-10-21,0.456429,6824
661,2012-10-22,0.482942,7058
662,2012-10-23,0.530304,7466
663,2012-10-24,0.558721,7693
664,2012-10-25,0.529688,7359
665,2012-10-26,0.52275,7444
666,2012-10-27,0.515133,7852
667,2012-10-28,0.467771,4459
668,2012-10-29,0.4394,22
669,2012-10-30,0.309909,1096
670,2012-10-31,0.3611,5566
671,2012-11-01,0.369942,5986
672,2012-11-02,0.356042,5847
673,2012-11-03,0.323846,5138
674,2012-11-04,0.329538,5107
675,2012-11-05,0.308075,5259
676,2012-11-06,0.281567,5686
677,2012-11-07,0.274621,5035
678,2012-11-08,0.341891,5315
679,2012-11-09,0.355413,5992
680,2012-11-10,0.393937,6536
681,2012-11-11,0.421713,6852
682,2012-11-12,0.475383,6269
683,2012-11-13,0.323225,4094
684,2012-11-14,0.281563,5495
685,2012-11-15,0.324492,5445
686,2012-11-16,0.347204,5698
687,2012-11-17,0.326383,5629
688,2012-11-18,0.337746,4669
689,2012-11-19,0.375621,5499
690,2012-11-20,0.380667,5634
691,2012-11-21,0.364892,5146
692,2012-11-22,0.350371,2425
693,2012-11-23,0.378779,3910
694,2012-11-24,0.248742,2277
695,2012-11-25,0.257583,2424
696,2012-11-26,0.339004,5087
697,2012-11-27,0.281558,3959
698,2012-11-28,0.289762,5260
699,2012-11-29,0.298422,5323
700,2012-11-30,0.323867,5668
701,2012-12-01,0.316904,5191
702,2012-12-02,0.359208,4649
703,2012-12-03,0.455796,6234
704,2012-12-04,0.469054,6606
705,2012-12-05,0.428012,5729
706,2012-12-06,0.258204,5375
707,2012-12-07,0.321958,5008
708,2012-12-08,0.389508,5582
709,2012-12-09,0.390146,3228
710,2012-12-10,0.435575,5170
711,2012-12-11,0.338363,5501
712,2012-12-12,0.297338,5319
713,2012-12-13,0.294188,5532
714,2012-12-14,0.294192,5611
715,2012-12-15,0.338383,5047
716,2012-12-16,0.369938,3786
717,2012-12-17,0.4015,4585
718,2012-12-18,0.409708,5557
719,2012-12-19,0.342162,5267
720,2012-12-20,0.335217,4128
721,2012-12-21,0.301767,3623
722,2012-12-22,0.236113,1749
723,2012-12-23,0.259471,1787
724,2012-12-24,0.2589,920
725,2012-12-25,0.294465,1013
726,2012-12-26,0.220333,441
727,2012-12-27,0.226642,2114
728,2012-12-28,0.255046,3095
729,2012-12-29,0.2424,1341
730,2012-12-30,0.2317,1796
731,2012-12-31,0.223487,2729
